,Especie
0,Abies
1,Abies
2,Abies
3,Abies
4,Abies
5,Abies
6,Abies
7,Abies
8,Abies
9,Abies
10,Abies
11,Abies
12,Abies
13,Abies
14,Abies
15,Abies
16,Abies
17,Abies
18,Abies
19,Abies
20,Abies
21,Abies
22,Abies
23,Abies
24,Abies
25,Abies
26,Abies
27,Abies
28,Abies
29,Abies
30,Abies
31,Abies
32,Abies
33,Abies
34,Abies
35,Abies
36,Abies
37,Abies
38,Abies
39,Abies
40,Abies
41,Abies
42,Abies
43,Abies
44,Abies
45,Abies
46,Abies
47,Abies
48,Abies
49,Abies
50,Abies
51,Abies
52,Abies
53,Abies
54,Abies
55,Abies
56,Abies
57,Abies
58,Abies
59,Abies
60,Abies
61,Abies
62,Abies
63,Abies
64,Abies
65,Abies
66,Abies
67,Abies
68,Abies
69,Abies
70,Abies
71,Abies
72,Abies
73,Abies
74,Abies
75,Abies
76,Abies
77,Abies
78,Abies
79,Abies
80,Abies
81,Abies
82,Abies
83,Abies
84,Abies
85,Abies
86,Abies
87,Abies
88,Abies
89,Abies
90,Abies
91,Abies
92,Abies
93,Abies
94,Abies
95,Abies
96,Abies
97,Abies
98,Abies
99,Abies
100,Abies
101,Abies
102,Abies
103,Abies
104,Abies
105,Abies
106,Abies
107,Abies
108,Abies
109,Abies
110,Abies
111,Acacia
112,Acacia
113,Acacia
114,Acacia
115,Acacia
116,Acacia
117,Acacia
118,Acacia
119,Acacia
120,Acacia
121,Acacia
122,Acacia
123,Acacia
124,Acacia
125,Acacia
126,Acacia
127,Acacia
128,Acacia
129,Acacia
130,Acacia
131,Acacia
132,Acacia
133,Acacia
134,Acacia
135,Acacia
136,Acacia
137,Acacia
138,Acacia
139,Acacia
140,Acacia
141,Acacia
142,Acacia
143,Acacia
144,Acacia
145,Acacia
146,Acacia
147,Acacia
148,Acacia
149,Acacia
150,Acacia
151,Acacia
152,Acacia
153,Acacia
154,Acacia
155,Acacia
156,Acacia
157,Acacia
158,Acacia
159,Acacia
160,Acacia
161,Acacia
162,Acacia
163,Acacia
164,Acacia
165,Acacia
166,Acacia
167,Acacia
168,Acacia
169,Acacia
170,Acacia
171,Acacia
172,Acacia
173,Acacia
174,Acacia
175,Acacia
176,Acacia
177,Acacia
178,Acacia
179,Acacia
180,Acacia
181,Acacia
182,Acacia
183,Acacia
184,Acacia
185,Acacia
186,Acacia
187,Acacia
188,Acacia
189,Acacia
190,Acacia
191,Acacia
192,Acacia
193,Acacia
194,Acacia
195,Acacia
196,Acacia
197,Acacia
198,Acacia
199,Acacia
200,Acacia
201,Acacia
202,Acacia
203,Acacia
204,Acacia
205,Acacia
206,Acacia
207,Acacia
208,Acacia
209,Acacia
210,Acacia
211,Acacia
212,Acacia
213,Acacia
214,Acacia
215,Acacia
216,Acacia
217,Acacia
218,Acacia
219,Acacia
220,Acacia
221,Acacia
222,Agave
223,Agave
224,Agave
225,Agave
226,Agave
227,Agave
228,Agave
229,Agave
230,Agave
231,Agave
232,Agave
233,Agave
234,Agave
235,Agave
236,Agave
237,Agave
238,Agave
239,Agave
240,Agave
241,Agave
242,Agave
243,Agave
244,Agave
245,Agave
246,Agave
247,Agave
248,Agave
249,Agave
250,Agave
251,Agave
252,Agave
253,Agave
254,Agave
255,Agave
256,Agave
257,Agave
258,Agave
259,Agave
260,Agave
261,Agave
262,Agave
263,Agave
264,Agave
265,Agave
266,Agave
267,Agave
268,Agave
269,Agave
270,Agave
271,Agave
272,Agave
273,Agave
274,Agave
275,Agave
276,Agave
277,Agave
278,Agave
279,Agave
280,Agave
281,Agave
282,Agave
283,Agave
284,Agave
285,Agave
286,Agave
287,Agave
288,Agave
289,Agave
290,Agave
291,Agave
292,Agave
293,Agave
294,Agave
295,Agave
296,Agave
297,Agave
298,Agave
299,Agave
300,Agave
301,Agave
302,Agave
303,Agave
304,Agave
305,Agave
306,Agave
307,Agave
308,Agave
309,Agave
310,Agave
311,Agave
312,Agave
313,Agave
314,Agave
315,Agave
316,Agave
317,Agave
318,Agave
319,Agave
320,Agave
321,Agave
322,Agave
323,Agave
324,Agave
325,Agave
326,Agave
327,Agave
328,Agave
329,Agave
330,Agave
331,Agave
332,Agave
333,Alnus oblongifolia
334,Alnus oblongifolia
335,Alnus oblongifolia
336,Alnus oblongifolia
337,Alnus oblongifolia
338,Alnus oblongifolia
339,Alnus oblongifolia
340,Alnus oblongifolia
341,Alnus oblongifolia
342,Alnus oblongifolia
343,Alnus oblongifolia
344,Alnus oblongifolia
345,Alnus oblongifolia
346,Alnus oblongifolia
347,Alnus oblongifolia
348,Alnus oblongifolia
349,Alnus oblongifolia
350,Alnus oblongifolia
351,Alnus oblongifolia
352,Alnus oblongifolia
353,Alnus oblongifolia
