,Autoridad,Entidad,Ano,Tipo,Descripcion,Cantidad
0,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,AGUASCALIENTES,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
1,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,AGUASCALIENTES,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
2,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,AGUASCALIENTES,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
3,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,10
4,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,10
5,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",7
6,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,4
7,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",1
8,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
9,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
10,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,"OMITIR PROPORCIONAR INTERPRETE O TRADUCTOR, SI NO HABLA EL IDIOMA",1
11,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR REGULARIZAR LA CALIDAD MIGRATORIA,1
12,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,1
13,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
14,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Hecho_Violatorio,RETENCION ILEGAL,1
15,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,3
16,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Motivo_Conclusion,ORIENTACION,3
17,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,BAJA CALIFORNIA,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
18,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CAMPECHE,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,2
19,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CAMPECHE,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
20,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CAMPECHE,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
21,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",3
22,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,3
23,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
24,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,1
25,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR DAR INFORMACION,1
26,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIHUAHUA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,2
27,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,81
28,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",79
29,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,70
30,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",22
31,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,DETENCION ARBITRARIA,6
32,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LAS PERSONAS PRIVADAS DE SU LIBERTAD,3
33,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,RETENCION ILEGAL,3
34,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",2
35,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,INTIMIDACION,2
36,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,2
37,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR REGULARIZAR LA CALIDAD MIGRATORIA,2
38,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,2
39,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,1
40,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,1
41,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,INCOMUNICACION,1
42,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,1
43,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,1
44,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",1
45,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
46,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
47,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
48,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR RESPETAR LA GARANTIA DE AUDIENCIA,1
49,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
50,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Hecho_Violatorio,PRACTICAR DE MANERA NEGLIGENTE LAS DILIGENCIAS,1
