,Hecho_Violatorio,Autoridad,Ano,Entidad,Cantidad_Quejas
0,PRIVAR DE LA VIDA,"SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        7",2014,ESTADO DE MEXICO,2
1,PRIVAR DE LA VIDA,"SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        7",2014,MICHOACAN,2
2,PRIVAR DE LA VIDA,"SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        7",2014,SAN LUIS POTOSI,1
3,PRIVAR DE LA VIDA,"SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        7",2014,SONORA,1
4,PRIVAR DE LA VIDA,"SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        7",2014,TAMAULIPAS,1
5,PRIVAR DE LA VIDA,"INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        4",2014,BAJA CALIFORNIA,1
6,PRIVAR DE LA VIDA,"INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        4",2014,DURANGO,1
7,PRIVAR DE LA VIDA,"INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        4",2014,GUANAJUATO,1
8,PRIVAR DE LA VIDA,"INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        4",2014,TAMAULIPAS,1
9,PRIVAR DE LA VIDA,"SECRETARIA DE MARINA
                                          
                                        4",2014,ESTADO DE MEXICO,1
10,PRIVAR DE LA VIDA,"SECRETARIA DE MARINA
                                          
                                        4",2014,SINALOA,1
11,PRIVAR DE LA VIDA,"SECRETARIA DE MARINA
                                          
                                        4",2014,SONORA,1
12,PRIVAR DE LA VIDA,"SECRETARIA DE MARINA
                                          
                                        4",2014,VERACRUZ,1
13,PRIVAR DE LA VIDA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        2",2014,DISTRITO FEDERAL,1
14,PRIVAR DE LA VIDA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        2",2014,GUERRERO,1
15,PRIVAR DE LA VIDA,"SECRETARIA DE GOBERNACION
                                          
                                        1",2014,OAXACA,1
16,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,MICHOACAN,126
17,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,TAMAULIPAS,12
18,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,ESTADO DE MEXICO,10
19,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,(SIN ESTADO),8
20,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,CHIAPAS,8
21,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,SAN LUIS POTOSI,8
22,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,GUERRERO,7
23,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,CHIHUAHUA,5
24,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,TABASCO,5
25,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,MORELOS,4
26,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,SONORA,4
27,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,VERACRUZ,4
28,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,DISTRITO FEDERAL,3
29,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,NUEVO LEON,3
30,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,OAXACA,3
31,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,SINALOA,3
32,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,HIDALGO,2
33,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,ZACATECAS,2
34,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,COAHUILA,1
35,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,GUANAJUATO,1
36,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,JALISCO,1
37,"TRATO CRUEL, INHUMANO O DEGRADANTE","POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        221",2014,NAYARIT,1
38,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,TAMAULIPAS,55
39,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,MICHOACAN,18
40,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,CHIHUAHUA,13
41,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,GUERRERO,13
42,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,JALISCO,12
43,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,SINALOA,12
44,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,VERACRUZ,12
45,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,BAJA CALIFORNIA,8
46,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,COAHUILA,8
47,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,SAN LUIS POTOSI,7
48,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,(SIN ESTADO),6
49,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,CHIAPAS,6
50,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,NUEVO LEON,6
51,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,ESTADO DE MEXICO,5
52,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,MORELOS,5
53,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,NAYARIT,5
54,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,SONORA,5
55,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,ZACATECAS,4
56,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,DURANGO,3
57,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,GUANAJUATO,3
58,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,OAXACA,3
59,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,TABASCO,2
60,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,QUINTANA ROO,1
61,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE LA DEFENSA NACIONAL
                                          
                                        213",2014,TLAXCALA,1
62,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,TAMAULIPAS,35
63,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,VERACRUZ,27
64,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,COAHUILA,17
65,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,ESTADO DE MEXICO,12
66,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,MICHOACAN,12
67,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,JALISCO,7
68,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,SINALOA,7
69,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,GUERRERO,6
70,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,NUEVO LEON,5
71,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,(SIN ESTADO),4
