,Entidad,Ano,Tipo,Descripcion,Cantidad
0,AGUASCALIENTES,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,16
1,AGUASCALIENTES,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,13
2,AGUASCALIENTES,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,9
3,AGUASCALIENTES,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
4,AGUASCALIENTES,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,1
5,AGUASCALIENTES,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
6,AGUASCALIENTES,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,1
7,AGUASCALIENTES,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,23
8,BAJA CALIFORNIA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",30
9,BAJA CALIFORNIA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,29
10,BAJA CALIFORNIA,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,16
11,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,8
12,BAJA CALIFORNIA,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,7
13,BAJA CALIFORNIA,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,5
14,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,2
15,BAJA CALIFORNIA,2014,Hecho_Violatorio,INTEGRACION IRREGULAR DE EXPEDIENTES,1
16,BAJA CALIFORNIA,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,1
17,BAJA CALIFORNIA,2014,Hecho_Violatorio,PRIVAR DE LA VIDA,1
18,BAJA CALIFORNIA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,18
19,BAJA CALIFORNIA,2014,Motivo_Conclusion,ORIENTACION,5
20,BAJA CALIFORNIA,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
21,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,6
22,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,4
23,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,3
24,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
25,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,1
26,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
27,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,1
28,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,1
29,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,1
30,BAJA CALIFORNIA SUR,2014,Hecho_Violatorio,TRASGREDIR EL DERECHO A LA LIBERTAD SEXUAL,1
31,BAJA CALIFORNIA SUR,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,8
32,BAJA CALIFORNIA SUR,2014,Motivo_Conclusion,ORIENTACION,2
33,CAMPECHE,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,2
34,CAMPECHE,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,2
35,CAMPECHE,2014,Hecho_Violatorio,NO SE PUEDE DETERMINAR,1
36,CAMPECHE,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,1
37,CAMPECHE,2014,Motivo_Conclusion,ORIENTACION,1
38,CHIHUAHUA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",77
39,CHIHUAHUA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,68
40,CHIHUAHUA,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,41
41,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,29
42,CHIHUAHUA,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,28
43,CHIHUAHUA,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,21
44,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,11
45,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR PRESTAR ATENCION MEDICA,9
46,CHIHUAHUA,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,7
47,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,7
48,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,5
49,CHIHUAHUA,2014,Hecho_Violatorio,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",4
50,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,3
51,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,3
52,CHIHUAHUA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS ADULTOS MAYORES,2
53,CHIHUAHUA,2014,Hecho_Violatorio,INCUMPLIR CON EL PAGO DE PENSION,2
54,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,2
55,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,2
56,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,2
57,CHIHUAHUA,2014,Hecho_Violatorio,"OMITIR DICTAR EL ACUERDO ESCRITO CORRESPONDIENTE, EN RESPUESTA A LA PETICION",2
58,CHIHUAHUA,2014,Hecho_Violatorio,"OMITIR PRESTAR ASISTENCIA MEDICA ESPECIAL, EN CASO DE MATERNIDAD E INFANCIA",2
59,CHIHUAHUA,2014,Hecho_Violatorio,PRIVACION DE LA VIDA DEL PRODUCTO DE LA CONCEPCION,2
60,CHIHUAHUA,2014,Hecho_Violatorio,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,1
61,CHIHUAHUA,2014,Hecho_Violatorio,"COBRAR EN FORMA INEQUITATIVA Y NO PROPORCIONAL LAS CONTRIBUCIONES, IMPUESTOS, SANCIONES Y DERECHOS",1
62,CHIHUAHUA,2014,Hecho_Violatorio,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,1
63,CHIHUAHUA,2014,Hecho_Violatorio,INTEGRACION IRREGULAR DE EXPEDIENTES,1
64,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR BRINDAR EL SERVICIO DE HOSPITALIZACION,1
65,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR PRESTAR EL SERVICIO EN MATERIA DE ELECTRICIDAD,1
66,CHIHUAHUA,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
67,CHIHUAHUA,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",1
68,CHIHUAHUA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,45
69,CHIHUAHUA,2014,Motivo_Conclusion,ORIENTACION,11
70,CHIHUAHUA,2014,Motivo_Conclusion,FALTA DE INTERES PROCESAL DEL QUEJOSO,1
71,CHIAPAS,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,48
72,CHIAPAS,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",45
73,CHIAPAS,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,15
74,CHIAPAS,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,14
75,CHIAPAS,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,11
76,CHIAPAS,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,9
77,CHIAPAS,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,6
78,CHIAPAS,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,5
79,CHIAPAS,2014,Hecho_Violatorio,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",4
80,CHIAPAS,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,4
81,CHIAPAS,2014,Hecho_Violatorio,ABANDONO DEL PACIENTE,2
82,CHIAPAS,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,2
83,CHIAPAS,2014,Hecho_Violatorio,OMITIR BRINDAR EL SERVICIO DE HOSPITALIZACION,2
84,CHIAPAS,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",2
85,CHIAPAS,2014,Hecho_Violatorio,INFRINGIR LOS DERECHOS DE MATERNIDAD,1
86,CHIAPAS,2014,Hecho_Violatorio,INTEGRACION IRREGULAR DE EXPEDIENTES,1
87,CHIAPAS,2014,Hecho_Violatorio,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,1
88,CHIAPAS,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
89,CHIAPAS,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
90,CHIAPAS,2014,Hecho_Violatorio,"OMITIR PRESTAR ASISTENCIA MEDICA ESPECIAL, EN CASO DE MATERNIDAD E INFANCIA",1
91,CHIAPAS,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,15
92,CHIAPAS,2014,Motivo_Conclusion,ORIENTACION,9
93,COAHUILA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,22
94,COAHUILA,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,8
95,COAHUILA,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,7
96,COAHUILA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",4
97,COAHUILA,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,4
98,COAHUILA,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,4
99,COAHUILA,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,4
100,COAHUILA,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,3
101,COAHUILA,2014,Hecho_Violatorio,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,2
102,COAHUILA,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,2
103,COAHUILA,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,1
104,COAHUILA,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,1
105,COAHUILA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,25
106,COAHUILA,2014,Motivo_Conclusion,ORIENTACION,4
107,COLIMA,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,2
108,COLIMA,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,2
109,COLIMA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
110,COLIMA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
111,COLIMA,2014,Hecho_Violatorio,INCUMPLIR CON EL PAGO DE PENSION,1
112,COLIMA,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,1
113,COLIMA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,3
114,COLIMA,2014,Motivo_Conclusion,ORIENTACION,2
115,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,92
116,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,91
117,DISTRITO FEDERAL,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,62
118,DISTRITO FEDERAL,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,50
119,DISTRITO FEDERAL,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,21
120,DISTRITO FEDERAL,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,19
121,DISTRITO FEDERAL,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",12
122,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,11
123,DISTRITO FEDERAL,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,8
124,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,7
125,DISTRITO FEDERAL,2014,Hecho_Violatorio,"INEJECUCION DE RESOLUCION, SENTENCIA O LAUDO",5
126,DISTRITO FEDERAL,2014,Hecho_Violatorio,NO SE PUEDE DETERMINAR,3
127,DISTRITO FEDERAL,2014,Hecho_Violatorio,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,2
128,DISTRITO FEDERAL,2014,Hecho_Violatorio,LIMITAR EL ACCESO AL SERVICIO PUBLICO DE SALUD,2
129,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,2
130,DISTRITO FEDERAL,2014,Hecho_Violatorio,IMPEDIR EL ACCESO A LA EDUCACION,1
131,DISTRITO FEDERAL,2014,Hecho_Violatorio,IMPEDIR EL ACCESO A LUGARES PUBLICOS,1
132,DISTRITO FEDERAL,2014,Hecho_Violatorio,INCUMPLIR CON EL PAGO DE PENSION,1
133,DISTRITO FEDERAL,2014,Hecho_Violatorio,INFRINGIR LOS DERECHOS DE MATERNIDAD,1
134,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,1
135,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR BRINDAR EL SERVICIO DE HOSPITALIZACION,1
