,Hecho_Violatorio,Autoridad,Ano,Entidad,Municipio,Cantidad_Quejas
0,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,42
1,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,3
2,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,3
3,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,2
4,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,2
5,OMITIR PROVEER DE INSTALACIONES Y MATERIALES ADECUADOS AL SERVICIO EDUCATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,2
6,LIMITAR EL ACCESO A LA EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,1
7,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,1
8,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,1
9,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,1
10,OMITIR PROTEGER LA INTIMIDAD DE LAS VICTIMAS,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTAPALAPA,1
11,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,28
12,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,4
13,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,4
14,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,4
15,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,4
16,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,4
17,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,3
18,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS INDIGENAS,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
19,LIMITAR EL ACCESO A LA EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
20,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
21,OMITIR BRINDAR PROTECCION A PERSONAS QUE LO NECESITEN,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
22,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
23,OMITIR PROPORCIONAR ATENCION MEDICA,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
24,OMITIR PROPORCIONAR IGUALDAD DE CONDICIONES EN EL TRABAJO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
25,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
26,PRIVAR DEL DERECHO A LA EDUCACION A PERSONAS PERTENECIENTES A UN GRUPO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
27,TRASGREDIR EL DERECHO A LA EDUCACION DEL MENOR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
28,TRASGREDIR LA LIBERTAD SEXUAL DE LOS MENORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
29,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,CUAUHTEMOC,1
30,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,30
31,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,3
32,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,3
33,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,3
34,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,3
